Dates,Close
2021-08-03,72.54
2021-08-04,70.54
2021-08-05,71.44
2021-08-06,70.67
2021-08-09,69.2
2021-08-10,70.79
2021-08-11,71.64
2021-08-12,71.47
2021-08-13,70.65
2021-08-16,69.77
2021-08-17,69.09
2021-08-18,68.32
2021-08-19,66.56
2021-08-20,65.26
2021-08-23,68.83
2021-08-24,71.12
2021-08-25,72.35
2021-08-26,71.16
2021-08-27,72.73
2021-08-30,72.73
2021-08-31,73.02
2021-09-01,71.69
2021-09-02,73.14
2021-09-03,72.72
2021-09-06,72.1
2021-09-07,71.87
2021-09-08,72.71
2021-09-09,71.62
2021-09-10,73.04
2021-09-13,73.64
2021-09-14,73.72
2021-09-15,75.49
2021-09-16,75.79
2021-09-17,75.5
2021-09-20,74.29
2021-09-21,74.71
2021-09-22,76.35
2021-09-23,75.32
2021-09-24,75.23
2021-09-27,79.54
2021-09-28,78.72
2021-09-29,78.74
2021-09-30,78.56
2021-10-01,79.32
2021-10-04,81.35
2021-10-05,82.63
2021-10-06,81.24
2021-10-07,82.49
2021-10-08,82.52
2021-10-11,83.74
2021-10-12,83.53
2021-10-13,83.33
2021-10-14,84.13
2021-10-15,84.98
2021-10-18,84.43
2021-10-19,85.22
2021-10-20,85.96
2021-10-21,84.73
2021-10-22,85.63
2021-10-25,86.05
2021-10-26,86.46
2021-10-27,84.64
2021-10-28,84.4
2021-10-29,84.39
2021-11-01,84.66
2021-11-02,84.57
2021-11-03,81.52
2021-11-04,80.7
2021-11-05,82.93
2021-11-08,83.57
2021-11-09,84.87
2021-11-10,82.68
2021-11-11,82.89
2021-11-12,82.39
2021-11-15,82.1
2021-11-16,82.56
2021-11-17,80.38
2021-11-18,81.32
2021-11-19,79.03
2021-11-22,79.77
2021-11-23,82.29
2021-11-24,82.35
2021-11-25,82.35
2021-11-26,72.94
2021-11-29,73.35
2021-11-30,70.37
2021-12-01,69.04
2021-12-02,69.93
2021-12-03,70.08
2021-12-06,73.25
2021-12-07,75.47
2021-12-08,75.97
2021-12-09,74.48
2021-12-10,75.33
2021-12-13,74.47
2021-12-14,73.67
2021-12-15,74.01
2021-12-16,75.15
2021-12-17,73.6
2021-12-20,71.71
2021-12-21,74.05
2021-12-22,75.39
2021-12-23,76.96
2021-12-24,75.96
2021-12-27,75.96
2021-12-28,75.96
2021-12-29,79.38
2021-12-30,79.38
2021-12-31,78.4
2022-01-03,78.98
2022-01-04,80.09
2022-01-05,80.88
2022-01-06,82.04
2022-01-07,81.88
2022-01-10,80.86
2022-01-11,83.78
2022-01-12,84.62
2022-01-13,84.4
2022-01-14,86.17
